sku,product_name,points_compared,mae,rmse,mape_percent
17003,BROCADE RING PURSE ,13,210.2161,384.6049,390.2474
21915,RED  HARMONICA IN BOX ,25,184.7152,428.6597,533.4834
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,25,262.3504,317.3588,91.1752
20725,LUNCH BAG RED RETROSPOT,25,48.4715,64.7918,54.527
47566,PARTY BUNTING,25,35.3702,63.4489,249.5321
22492,MINI PAINT SET VINTAGE ,23,132.1537,240.1646,463.6097
85123A,Test Low Stock Product,25,82.2384,112.1676,225.8348
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25,144.637,172.0965,185.1173
85099B,JUMBO BAG RED RETROSPOT,25,162.3259,254.8718,159.5621
22197,POPCORN HOLDER,25,365.2878,610.0466,64.0024
21212,PACK OF 72 RETROSPOT CAKE CASES,25,57.3098,66.3883,703.8763
22616,PACK OF 12 LONDON TISSUES ,24,109.8889,219.4745,604.2441
23084,RABBIT NIGHT LIGHT,25,365.6771,538.7187,112.3405
21977,PACK OF 60 PINK PAISLEY CAKE CASES,25,45.0381,63.9187,321.5853
15036,ASSORTED COLOURS SILK FAN,20,26.0602,29.2331,543.0437
84991,60 TEATIME FAIRY CAKE CASES,23,88.4724,96.9884,1222.1181
84879,ASSORTED COLOUR BIRD ORNAMENT,26,137.8352,261.1142,146.4121
22386,JUMBO BAG PINK POLKADOT,26,109.0429,118.3931,726.7811
22178,VICTORIAN GLASS HANGING T-LIGHT,26,89.1438,126.3975,158.2093
