ds,y
2010-12-03,11
2010-12-05,8
2010-12-06,17
2010-12-07,4
2010-12-08,59
2010-12-09,63
2010-12-10,2
2010-12-12,20
2010-12-13,7
2010-12-14,10
2010-12-16,5
2010-12-17,2
2010-12-19,5
2010-12-20,13
2010-12-21,8
2010-12-22,3
2011-01-04,66
2011-01-05,50
2011-01-06,18
2011-01-07,11
2011-01-10,20
2011-01-11,16
2011-01-12,23
2011-01-13,12
2011-01-14,14
2011-01-17,24
2011-01-18,8
2011-01-19,5
2011-01-20,7
2011-01-21,12
2011-01-23,13
2011-01-24,17
2011-01-25,71
2011-01-26,5
2011-01-27,20
2011-01-28,53
2011-01-30,5
2011-01-31,16
2011-02-01,113
2011-02-02,11
2011-02-03,15
2011-02-04,58
2011-02-06,19
2011-02-07,21
2011-02-08,11
2011-02-09,105
2011-02-10,37
2011-02-11,114
2011-02-13,4
2011-02-14,13
2011-02-15,6
2011-02-16,143
2011-02-17,12
2011-02-18,10
2011-02-20,5
2011-02-22,16
2011-02-23,70
2011-02-24,25
2011-02-25,19
2011-02-27,27
2011-02-28,71
2011-03-01,30
2011-03-02,76
2011-03-03,54
2011-03-04,15
2011-03-06,9
2011-03-07,42
2011-03-08,21
2011-03-09,23
2011-03-10,23
2011-03-11,94
2011-03-13,2
2011-03-14,93
2011-03-15,21
2011-03-16,95
2011-03-17,161
2011-03-18,90
2011-03-20,146
2011-03-21,28
2011-03-22,89
2011-03-23,123
2011-03-24,17
2011-03-25,32
2011-03-27,36
2011-03-28,34
2011-03-29,172
2011-03-30,129
2011-03-31,11
2011-04-01,17
2011-04-03,13
2011-04-04,43
2011-04-05,31
2011-04-06,60
2011-04-07,124
2011-04-08,171
2011-04-10,31
2011-04-11,127
2011-04-12,123
2011-04-13,30
2011-04-14,157
2011-04-15,85
2011-04-17,20
2011-04-18,91
2011-04-19,103
2011-04-20,247
2011-04-21,207
2011-04-26,127
2011-04-27,107
2011-04-28,23
2011-05-01,19
2011-05-03,279
2011-05-04,217
2011-05-05,155
2011-05-06,132
2011-05-08,201
2011-05-09,146
2011-05-10,338
2011-05-11,61
2011-05-12,162
2011-05-13,45
2011-05-15,8
2011-05-16,138
2011-05-17,199
2011-05-18,74
2011-05-19,85
2011-05-20,181
2011-05-22,77
2011-05-23,178
2011-05-24,100
2011-05-25,185
2011-05-26,56
2011-05-27,312
2011-05-29,8
2011-05-31,209
2011-06-01,133
2011-06-02,23
2011-06-03,19
2011-06-05,50
2011-06-06,32
2011-06-07,47
2011-06-08,386
2011-06-09,77
2011-06-10,101
2011-06-12,20
2011-06-13,29
2011-06-14,143
2011-06-15,98
2011-06-16,34
2011-06-17,127
2011-06-19,76
2011-06-20,321
2011-06-21,98
2011-06-22,39
2011-06-23,51
2011-06-24,89
2011-06-27,16
2011-06-28,103
2011-06-29,36
2011-06-30,73
2011-07-01,24
2011-07-03,24
2011-07-04,66
2011-07-05,259
2011-07-06,31
2011-07-07,294
2011-07-08,249
2011-07-10,2
2011-07-11,134
2011-07-12,38
2011-07-13,30
2011-07-14,58
2011-07-15,77
2011-07-17,17
2011-07-18,87
2011-07-19,323
2011-07-20,250
2011-07-21,136
2011-07-22,111
2011-07-24,28
2011-07-25,32
2011-07-26,118
2011-07-27,181
2011-07-28,106
2011-07-29,57
2011-07-31,26
2011-08-01,25
2011-08-02,94
2011-08-03,53
2011-08-04,221
2011-08-05,23
2011-08-07,15
2011-08-08,57
2011-08-09,50
2011-08-10,134
2011-08-11,80
2011-08-12,9
2011-08-15,16
2011-08-16,70
2011-08-17,115
2011-08-18,112
2011-08-19,46
2011-08-21,43
2011-08-22,28
2011-08-23,119
2011-08-24,137
2011-08-25,124
2011-08-26,54
2011-08-28,9
2011-08-30,60
2011-08-31,1
2011-09-01,64
2011-09-02,43
2011-09-04,39
2011-09-05,110
2011-09-06,91
2011-09-07,13
2011-09-08,8
2011-09-09,51
2011-09-11,27
2011-09-12,19
2011-09-13,89
2011-09-14,25
2011-09-15,164
2011-09-16,22
2011-09-18,15
2011-09-19,7
2011-09-20,25
2011-09-21,17
2011-09-22,53
2011-09-23,26
2011-09-25,30
2011-09-26,11
2011-09-27,48
2011-09-28,78
2011-09-29,32
2011-09-30,30
2011-10-02,10
2011-10-03,29
2011-10-04,37
2011-10-05,35
2011-10-06,18
2011-10-07,64
2011-10-10,2
2011-10-11,28
2011-10-12,16
2011-10-13,29
2011-10-14,17
2011-10-16,14
2011-10-17,15
2011-10-18,136
2011-10-19,10
2011-10-20,24
2011-10-21,26
2011-10-24,2
2011-10-25,27
2011-10-26,7
2011-10-27,28
2011-10-28,9
2011-10-30,5
2011-10-31,32
2011-11-01,5
2011-11-02,8
2011-11-03,4
2011-11-04,39
