ds,y
2010-12-01,556
2010-12-02,48
2010-12-03,49
2010-12-05,39
2010-12-06,157
2010-12-07,343
2010-12-08,205
2010-12-09,21
2010-12-10,125
2010-12-12,1
2010-12-13,28
2010-12-14,63
2010-12-15,80
2010-12-16,210
2010-12-17,45
2010-12-19,1
2010-12-20,47
2010-12-21,122
2010-12-22,1
2010-12-23,11
2011-01-04,27
2011-01-05,436
2011-01-06,354
2011-01-07,514
2011-01-09,43
2011-01-10,57
2011-01-11,1
2011-01-12,4
2011-01-13,33
2011-01-14,120
2011-01-16,10
2011-01-17,37
2011-01-18,87
2011-01-19,242
2011-01-20,4
2011-01-21,124
2011-01-23,100
2011-01-24,56
2011-01-25,393
2011-01-26,1
2011-01-27,51
2011-01-28,1
2011-01-31,52
2011-02-01,390
2011-02-02,310
2011-02-03,126
2011-02-04,23
2011-02-06,64
2011-02-07,30
2011-02-08,139
2011-02-09,36
2011-02-11,43
2011-02-13,40
2011-02-14,426
2011-02-15,54
2011-02-16,30
2011-02-17,131
2011-02-18,314
2011-02-20,30
2011-02-21,102
2011-02-22,324
2011-02-23,48
2011-02-24,161
2011-02-25,169
2011-02-27,6
2011-02-28,84
2011-03-01,288
2011-03-02,16
2011-03-03,30
2011-03-04,181
2011-03-06,25
2011-03-07,453
2011-03-08,117
2011-03-09,26
2011-03-10,41
2011-03-11,101
2011-03-14,141
2011-03-15,45
2011-03-16,10
2011-03-17,1246
2011-03-18,35
2011-03-20,71
2011-03-21,161
2011-03-22,45
2011-03-23,337
2011-03-24,315
2011-03-25,521
2011-03-28,143
2011-03-29,563
2011-03-30,331
2011-03-31,40
2011-04-01,16
2011-04-03,10
2011-04-04,329
2011-04-05,333
2011-04-06,118
2011-04-07,43
2011-04-08,118
2011-04-10,34
2011-04-11,22
2011-04-12,120
2011-04-13,40
2011-04-14,148
2011-04-15,66
2011-04-17,220
2011-04-18,169
2011-04-19,146
2011-04-20,110
2011-04-21,124
2011-04-26,190
2011-04-27,67
2011-04-28,33
2011-05-01,95
2011-05-03,51
2011-05-04,48
2011-05-05,77
2011-05-06,94
2011-05-08,110
2011-05-09,76
2011-05-10,396
2011-05-11,154
2011-05-12,237
2011-05-13,340
2011-05-15,3
2011-05-16,133
2011-05-17,161
2011-05-18,178
2011-05-19,162
2011-05-20,273
2011-05-22,71
2011-05-23,365
2011-05-24,251
2011-05-25,255
2011-05-26,6
2011-05-27,44
2011-05-29,12
2011-05-31,29
2011-06-01,21
2011-06-02,155
2011-06-03,33
2011-06-05,35
2011-06-06,123
2011-06-07,317
2011-06-08,135
2011-06-09,88
2011-06-10,72
2011-06-12,148
2011-06-13,35
2011-06-14,234
2011-06-15,313
2011-06-16,134
2011-06-17,120
2011-06-19,123
2011-06-20,356
2011-06-21,162
2011-06-22,120
2011-06-23,142
2011-06-24,31
2011-06-26,30
2011-06-27,237
2011-06-28,223
2011-06-29,60
2011-06-30,235
2011-07-01,57
2011-07-03,4
2011-07-04,51
2011-07-05,296
2011-07-06,200
2011-07-07,376
2011-07-08,434
2011-07-10,7
2011-07-11,22
2011-07-12,31
2011-07-13,76
2011-07-14,123
2011-07-15,44
2011-07-17,135
2011-07-18,71
2011-07-19,273
2011-07-20,279
2011-07-21,45
2011-07-22,40
2011-07-24,25
2011-07-25,59
2011-07-26,148
2011-07-27,162
2011-07-28,48
2011-07-29,111
2011-07-31,12
2011-08-01,348
2011-08-02,54
2011-08-03,38
2011-08-04,453
2011-08-05,134
2011-08-07,23
2011-08-08,358
2011-08-09,263
2011-08-10,557
2011-08-11,147
2011-08-12,26
2011-08-14,22
2011-08-15,62
2011-08-16,45
2011-08-17,281
2011-08-18,390
2011-08-19,100
2011-08-21,478
2011-08-22,130
2011-08-23,151
2011-08-24,1068
2011-08-25,108
2011-08-26,50
2011-08-28,11
2011-08-30,38
2011-08-31,167
2011-09-01,301
2011-09-02,153
2011-09-04,58
2011-09-05,54
2011-09-06,84
2011-09-07,265
2011-09-08,47
2011-09-09,53
2011-09-11,53
2011-09-12,83
2011-09-13,144
2011-09-14,3
2011-09-15,167
2011-09-16,119
2011-09-18,227
2011-09-19,493
2011-09-20,150
2011-09-21,419
2011-09-22,268
2011-09-23,276
2011-09-25,61
2011-09-26,220
2011-09-27,174
2011-09-28,91
2011-09-29,372
2011-09-30,66
2011-10-02,6
2011-10-03,43
2011-10-04,77
2011-10-05,361
2011-10-06,1583
2011-10-07,623
2011-10-09,22
2011-10-10,62
2011-10-11,368
2011-10-12,78
2011-10-13,274
2011-10-14,147
2011-10-16,18
2011-10-17,409
2011-10-18,112
2011-10-19,54
2011-10-20,341
2011-10-21,122
2011-10-23,7
2011-10-24,287
2011-10-25,161
2011-10-26,48
2011-10-27,41
2011-10-28,12
2011-10-30,51
2011-10-31,105
2011-11-01,84
2011-11-02,244
2011-11-03,452
2011-11-04,58
