ds,y
2010-12-01,454
2010-12-02,309
2010-12-03,60
2010-12-05,198
2010-12-06,161
2010-12-07,377
2010-12-08,151
2010-12-09,195
2010-12-10,196
2010-12-12,42
2010-12-13,337
2010-12-14,190
2010-12-15,112
2010-12-16,790
2010-12-17,58
2010-12-19,42
2010-12-20,85
2010-12-21,42
2010-12-22,25
2010-12-23,47
2011-01-04,67
2011-01-05,304
2011-01-06,171
2011-01-07,334
2011-01-09,97
2011-01-10,12
2011-01-11,3114
2011-01-12,83
2011-01-13,8
2011-01-14,89
2011-01-16,23
2011-01-17,220
2011-01-18,18
2011-01-19,271
2011-01-20,42
2011-01-21,64
2011-01-23,47
2011-01-24,11
2011-01-25,97
2011-01-26,183
2011-01-27,64
2011-01-28,68
2011-01-30,123
2011-01-31,31
2011-02-01,195
2011-02-02,222
2011-02-03,63
2011-02-04,42
2011-02-06,35
2011-02-07,69
2011-02-08,153
2011-02-09,14
2011-02-10,66
2011-02-11,209
2011-02-13,6
2011-02-14,66
2011-02-15,12
2011-02-16,203
2011-02-17,50
2011-02-18,6
2011-02-20,28
2011-02-21,23
2011-02-22,96
2011-02-23,116
2011-02-24,99
2011-02-25,40
2011-02-27,27
2011-02-28,37
2011-03-01,86
2011-03-02,33
2011-03-03,96
2011-03-04,27
2011-03-06,101
2011-03-07,26
2011-03-08,145
2011-03-09,98
2011-03-10,57
2011-03-11,125
2011-03-13,3
2011-03-14,19
2011-03-15,114
2011-03-16,141
2011-03-17,87
2011-03-18,57
2011-03-20,47
2011-03-21,38
2011-03-22,84
2011-03-23,83
2011-03-24,52
2011-03-25,31
2011-03-27,77
2011-03-28,44
2011-03-29,185
2011-03-30,68
2011-03-31,75
2011-04-01,133
2011-04-03,77
2011-04-04,66
2011-04-05,51
2011-04-06,65
2011-04-07,50
2011-04-08,68
2011-04-10,74
2011-04-11,45
2011-04-12,198
2011-04-13,73
2011-04-14,127
2011-04-15,8
2011-04-17,23
2011-04-18,2102
2011-04-19,110
2011-04-20,73
2011-04-21,137
2011-04-26,179
2011-04-27,73
2011-04-28,111
2011-05-01,12
2011-05-03,317
2011-05-04,85
2011-05-05,421
2011-05-06,179
2011-05-08,142
2011-05-09,216
2011-05-10,161
2011-05-11,120
2011-05-12,227
2011-05-13,25
2011-05-15,143
2011-05-16,201
2011-05-17,166
2011-05-18,73
2011-05-19,109
2011-05-20,92
2011-05-22,153
2011-05-23,113
2011-05-24,144
2011-05-25,68
2011-05-26,653
2011-05-27,22
2011-05-29,26
2011-05-31,168
2011-06-01,29
2011-06-02,354
2011-06-03,29
2011-06-05,49
2011-06-06,108
2011-06-07,56
2011-06-08,110
2011-06-09,4015
2011-06-10,68
2011-06-12,33
2011-06-13,17
2011-06-14,50
2011-06-15,120
2011-06-16,42
2011-06-17,15
2011-06-19,147
2011-06-20,29
2011-06-21,13
2011-06-22,18
2011-06-23,106
2011-06-24,38
2011-06-26,32
2011-06-27,66
2011-06-28,13
2011-06-29,77
2011-06-30,46
2011-07-01,39
2011-07-03,18
2011-07-04,9
2011-07-05,134
2011-07-06,5
2011-07-07,59
2011-07-08,37
2011-07-10,20
2011-07-11,81
2011-07-12,789
2011-07-13,58
2011-07-14,224
2011-07-15,23
2011-07-17,23
2011-07-18,120
2011-07-19,157
2011-07-20,104
2011-07-21,56
2011-07-22,132
2011-07-24,160
2011-07-25,43
2011-07-26,8
2011-07-27,58
2011-07-28,490
2011-07-29,74
2011-07-31,107
2011-08-01,61
2011-08-02,32
2011-08-03,91
2011-08-04,130
2011-08-05,38
2011-08-07,89
2011-08-08,73
2011-08-09,121
2011-08-10,132
2011-08-11,71
2011-08-12,28
2011-08-14,52
2011-08-15,104
2011-08-16,87
2011-08-17,70
2011-08-18,15
2011-08-19,6
2011-08-21,15
2011-08-22,420
2011-08-23,122
2011-08-24,61
2011-08-25,107
2011-08-26,24
2011-08-28,42
2011-08-30,63
2011-08-31,39
2011-09-01,112
2011-09-02,166
2011-09-04,16
2011-09-05,95
2011-09-06,184
2011-09-07,25
2011-09-08,27
2011-09-09,29
2011-09-11,89
2011-09-12,117
2011-09-13,133
2011-09-14,85
2011-09-15,146
2011-09-16,101
2011-09-18,81
2011-09-19,42
2011-09-20,399
2011-09-21,11
2011-09-22,58
2011-09-23,131
2011-09-25,69
2011-09-26,48
2011-09-27,21
2011-09-28,125
2011-09-29,80
2011-09-30,113
2011-10-02,21
2011-10-03,23
2011-10-04,20
2011-10-05,49
2011-10-06,13
2011-10-07,34
2011-10-09,26
2011-10-10,127
2011-10-11,46
2011-10-12,25
2011-10-13,243
2011-10-14,187
2011-10-16,55
2011-10-17,69
2011-10-18,21
2011-10-19,42
2011-10-20,26
2011-10-21,13
2011-10-23,63
2011-10-24,76
2011-10-25,16
2011-10-26,20
2011-10-27,117
2011-10-28,90
2011-10-30,128
2011-10-31,152
2011-11-01,39
2011-11-02,80
2011-11-03,1265
2011-11-04,85
